CAC40,Nikkei225
3554.47998,9585.320313
3500.159912,9408.360352
3607.050049,9430.959961
3643.139893,9537.299805
3716.050049,9642.120117
3610.909912,9253.459961
3526.120117,9179.379883
3507.439941,8991.05957
3672.199951,9114.129883
3725.820068,9239.169922
3722.02002,9626.089844
3782.47998,9471.669922
3692.090088,9404.230469
3763.179932,9588.879883
3827.370117,9500.25
3868.540039,9426.709961
3833.5,9202.450195
3916.72998,9625.990234
3831.120117,9724.80957
3860.159912,10022.38965
3728.649902,10039.55957
3750.550049,10178.32031
3857.350098,10211.9502
3867.350098,10303.83008
3900.389893,10279.19043
3804.780029,10228.91992
3865.580078,10541.04004
3983.280029,10499.04004
4017.449951,10274.51953
4002.320068,10360.33984
4047.209961,10543.51953
4101.310059,10605.65039
4157.140137,10842.79981
4070.379883,10526.75977
4020.209961,10693.66016
3928.679932,10254.42969
3810.219971,9206.75
3972.379883,9536.129883
4054.76001,9708.389648
4061.909912,9768.080078
3974.47998,9591.519531
4021.879883,9682.209961
4106.919922,9849.740234
4058.01001,9859.200195
4018.850098,9648.769531
3990.850098,9607.080078
3950.97998,9521.94043
3890.679932,9492.209961
3805.090088,9514.44043
3823.73999,9351.400391
3784.800049,9678.709961
4007.350098,9868.070313
3913.550049,10137.73047
3726.590088,9974.469727
3842.699951,10132.11035
3672.77002,9833.030273
3278.560059,9299.879883
3213.879883,8963.719727
3016.98999,8719.240234
3087.639893,8797.780273
3148.530029,8950.740234
2974.590088,8737.660156
3031.080078,8864.160156
2810.110107,8560.259766
2981.959961,8700.290039
3095.560059,8605.620117
3217.889893,8747.959961
3171.340088,8678.889648
3348.629883,9050.469727
3123.550049,8801.400391
3149.379883,8514.469727
2997.01001,8374.910156
2856.969971,8160.009766
3164.949951,8643.75
3172.350098,8536.459961
2972.300049,8401.719727
3102.090088,8395.160156
3159.810059,8455.349609
3137.360107,8390.349609
3196.48999,8500.019531
3321.5,8766.360352
3318.76001,8841.219727
3427.919922,8831.929688
3373.139893,8947.169922
3439.620117,9384.169922
3467.030029,9647.379883
3501.169922,9777.030273
3487.47998,9929.740234
3594.830078,10129.83008
3476.179932,10011.46973
3423.810059,10083.55957
3319.810059,9688.450195
3189.090088,9637.990234
3188.580078,9561.360352
3266.27002,9520.889648
3161.969971,9380.25
3129.77002,8953.30957
3008,8611.30957
3047.939941,8580.389648
2950.469971,8440.25
3051.689941,8459.259766
3087.620117,8569.320313
3090.899902,8798.349609
3196.649902,9006.780273
3168.790039,9020.75
3180.810059,8724.120117
3193.889893,8669.870117
3280.189941,8566.639648
3374.189941,8555.110352
3435.620117,8891.44043
3488.379883,9162.5
3433.209961,9070.759766
3413.070068,8839.910156
3519.050049,8871.650391
3581.580078,9159.389648
3530.719971,9110
3354.820068,8870.160156
3457.040039,8863.299805
3389.080078,8534.120117
3504.560059,9002.679688
3435.090088,8933.05957
3492.459961,9051.219727
3423.570068,8757.599609
3341.52002,9024.160156
3528.800049,9366.799805
3557.280029,9446.009766
3605.610107,9527.389648
3643.280029,9737.55957
3661.399902,9940.05957
3620.25,10395.17969
3730.02002,10688.11035
3706.02002,10801.57031
3741.580078,10913.29981
